Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
mfi,com.ngd.mfi,MfiApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mfi,com.ngd.mfi,MfiApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
