Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
billpayKSL,com.ngd.billpay,BillpayApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
billpayKSL,com.ngd.billpay,BillpayApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
